2024-11-05 18:26:34,683 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-05 18:26:34,684 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Configure stats pid to 7600
2024-11-05 18:26:34,684 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Loading settings from C:\Users\kainak0\.config\wandb\settings
2024-11-05 18:26:34,684 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Loading settings from c:\Users\kainak0\Documents\gitProjects\mia\MIA-203_redes_neuronales\final\wandb\settings
2024-11-05 18:26:34,684 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-05 18:26:34,684 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-11-05 18:26:34,684 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-05 18:26:34,684 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-05 18:26:34,684 INFO    MainThread:7600 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-05 18:26:34,685 INFO    MainThread:7600 [wandb_init.py:_log_setup():534] Logging user logs to c:\Users\kainak0\Documents\gitProjects\mia\MIA-203_redes_neuronales\final\wandb\run-20241105_182634-ertwp8o6\logs\debug.log
2024-11-05 18:26:34,685 INFO    MainThread:7600 [wandb_init.py:_log_setup():535] Logging internal logs to c:\Users\kainak0\Documents\gitProjects\mia\MIA-203_redes_neuronales\final\wandb\run-20241105_182634-ertwp8o6\logs\debug-internal.log
2024-11-05 18:26:34,685 INFO    MainThread:7600 [wandb_init.py:_jupyter_setup():480] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000022094613410>
2024-11-05 18:26:34,685 INFO    MainThread:7600 [wandb_init.py:init():621] calling init triggers
2024-11-05 18:26:34,685 INFO    MainThread:7600 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {'batch_size': 48, 'num_epochs': 30, 'lr': 0.0001, 'seq_len': 200, 'd_model': 512, 'N_layers': 2, 'heads': 8, 'dropout': 0.1, 'ffn_hidden': 2048, 'datasource': 'spanish-to-quechua', 'lang_src': 'es', 'lang_tgt': 'qu', 'model_folder': 'weights_es_qu', 'model_basename': 'tmodel_es_qu', 'preload': 'latest', 'tokenizer_file': 'tokenizer_es_qu_{0}.json', 'experiment_name': 'runs/tmodel_es_qu'}
2024-11-05 18:26:34,685 INFO    MainThread:7600 [wandb_init.py:init():671] starting backend
2024-11-05 18:26:34,685 INFO    MainThread:7600 [wandb_init.py:init():675] sending inform_init request
2024-11-05 18:26:34,687 INFO    MainThread:7600 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-05 18:26:34,688 INFO    MainThread:7600 [wandb_init.py:init():688] backend started and connected
2024-11-05 18:26:34,694 INFO    MainThread:7600 [wandb_run.py:_label_probe_notebook():1342] probe notebook
2024-11-05 18:26:34,697 INFO    MainThread:7600 [wandb_run.py:_label_probe_notebook():1352] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 82079: character maps to <undefined>
2024-11-05 18:26:34,697 INFO    MainThread:7600 [wandb_init.py:init():783] updated telemetry
2024-11-05 18:26:34,732 INFO    MainThread:7600 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-05 18:26:35,222 INFO    MainThread:7600 [wandb_init.py:init():867] starting run threads in backend
2024-11-05 18:26:35,303 INFO    MainThread:7600 [wandb_run.py:_console_start():2463] atexit reg
2024-11-05 18:26:35,303 INFO    MainThread:7600 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-05 18:26:35,303 INFO    MainThread:7600 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-05 18:26:35,303 INFO    MainThread:7600 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-05 18:26:35,305 INFO    MainThread:7600 [wandb_init.py:init():911] run started, returning control to user process
